"title";"description";"year";"director";"country";"image_url";"genres"
"Gravity";"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.";"2013";"Alfonso Cuar\u00f3n";"Великобритания";"http://example.com/image.jpg";"Science fiction,Thriller,Drama"
"Dante's Peak";"Volcanologist Harry Dalton comes to the sleepy town of Dante's Peak to investigate the recent rumblings of the dormant volcano the burg is named for. Before long, his worst fears are realized when a massive eruption hits, and immediately, Harry, the mayor and the townspeople find themselves fighting for their lives amid a catastrophic nightmare.";"1997";"Roger Donaldson";"США";"http://example.com/image.jpg";"Action,Adventure,Thriller"
"Teenage Mutant Ninja Turtles: Out of the Shadows";"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.";"2016";"Dave Green";"China";"http://example.com/image.jpg";"Fantasy,Action,Adventure,Comedy"
"Fantastic Four";"Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.";"2015";"Josh Trank";"США";"http://example.com/image.jpg";"Action,Adventure,Science fiction"
"Night at the Museum";"Chaos reigns at the natural history museum when night watchman Larry Daley accidentally stirs up an ancient curse, awakening Attila the Hun, an army of gladiators, a Tyrannosaurus rex and other exhibits. Larry tries desperately to keep the museum under control, but he's fighting a losing battle until President Teddy Roosevelt comes to the rescue.";"2006";"Shawn Levy";"США";"http://example.com/image.jpg";"Action,Adventure,Comedy,Family,Fantasy"
"San Andreas";"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.";"2015";"Brad Peyton";"Canada";"http://example.com/image.jpg";"Action,Drama,Thriller"
"Tomorrow Never Dies";"A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now 007 must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.";"1997";"Roger Spottiswoode";"Великобритания";"http://example.com/image.jpg";"Adventure,Action,Thriller"
"The Patriot";"After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son.";"2000";"Roland Emmerich";"Germany";"http://example.com/image.jpg";"Drama,History,War,Action"
"Ocean's Twelve";"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.";"2004";"Steven Soderbergh";"США";"http://example.com/image.jpg";"Thriller,Crime"
"Mr. & Mrs. Smith";"After five (or six) years of vanilla-wedded bliss, ordinary suburbanites John and Jane Smith are stuck in a huge rut. Unbeknownst to each other, they are both coolly lethal, highly-paid assassins working for rival organisations. When they discover they're each other's next target, their secret lives collide in a spicy, explosive mix of wicked comedy, pent-up passion, nonstop action and high-tech weaponry.";"2005";"Doug Liman";"США";"http://example.com/image.jpg";"Action,Comedy,Drama,Thriller"
"Insurgent";"Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.";"2015";"Robert Schwentke";"США";"http://example.com/image.jpg";"Adventure,Science fiction,Thriller"
"The Aviator";"A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.";"2004";"Martin Scorsese";"США";"http://example.com/image.jpg";"Drama"
"Gulliver's Travels";"Travel writer Lemuel Gulliver takes an assignment in Bermuda, but ends up on the island of Liliput, where he towers over its tiny citizens.";"2010";"Rob Letterman";"США";"http://example.com/image.jpg";"Comedy"
"The Green Hornet";"Britt Reid (Seth Rogen), the heir to the largest newspaper fortune in Los Angeles, is a spoiled playboy who has been, thus far, happy to lead an aimless life. After his father (Tom Wilkinson) dies, Britt meets Kato (Jay Chou), a resourceful company employee. Realizing that they have the talent and resources to make something of their lives, Britt and Kato join forces as costumed crime-fighters to bring down the city's most-powerful criminal, Chudnofsky (Christoph Waltz).";"2011";"Michel Gondry";"США";"http://example.com/image.jpg";"Action,Crime,Comedy"
